Item_Code,Theoretical_Trait,Layer4_LLM_Semantic_Cluster,Layer1_GGM_Network_Community,Layer2_Supervised_SHAP_Primary_Driver,Item_Wording
DTDD_1m,Machiavellianism,Semantic Cluster 1,Cluster 9 (M/P Core),Agreeableness (-),I tend to manipulate people to get what I want.
DTDD_2m,Machiavellianism,Semantic Cluster 1,Cluster 9 (M/P Core),Agreeableness (-),I have used deceit or lied to get what I want.
DTDD_3m,Machiavellianism,Semantic Cluster 1,Cluster 9 (M/P Core),Agreeableness (-),I have used flattery to get what I want.
DTDD_4m,Machiavellianism,Semantic Cluster 1,Cluster 9 (M/P Core),Agreeableness (-),I tend to exploit others towards my own end.
DTDD_1p,Psychopathy,Semantic Cluster 2,Cluster 9 (M/P Core),Empathy (-),I tend to be unconcerned with the morality of my actions.
DTDD_2p,Psychopathy,Semantic Cluster 0,Cluster 9 (M/P Core),Empathy (-),I tend to be callous or insensitive to other peoples feelings.
DTDD_3p,Psychopathy,Semantic Cluster 0,Cluster 9 (M/P Core),Empathy (-),I tend to be cynical and skeptical of others.
DTDD_4p,Psychopathy,Semantic Cluster 2,Cluster 9 (M/P Core),Empathy (-),I tend to lack remorse or feel guilty for my mistakes.
DTDD_1n,Narcissism,Semantic Cluster 0,Cluster 5 (Narcissism),Age / Self-Esteem (+),I tend to want others to admire me.
DTDD_2n,Narcissism,Semantic Cluster 0,Cluster 5 (Narcissism),Age / Self-Esteem (+),I tend to want others to pay attention to me.
DTDD_3n,Narcissism,Semantic Cluster 0,Cluster 5 (Narcissism),Age / Self-Esteem (+),I tend to seek prestige or status.
DTDD_4n,Narcissism,Semantic Cluster 0,Cluster 5 (Narcissism),Age / Self-Esteem (+),I tend to expect special favors from others.
DTDD_1i,Psychopathy/Extended,Semantic Cluster 2,Cluster 9 (M/P Core),Conscientiousness (-),I tend to act impulsively without thinking about consequences.
DTDD_1g,Machiavellianism/Extended,Semantic Cluster 1,Cluster 9 (M/P Core),Agreeableness (-),I engage in short-term manipulation for immediate gain.
DTDD_1ma,Psychopathy/Extended,Semantic Cluster 2,Cluster 9 (M/P Core),Empathy (-),I engage in antisocial behavior that violates social norms.
