Layer,Evidence_Level,Finding
Network (12 items),STRONG,Three clean communities matching theoretical traits.
Network (full items),PARTIAL,Narcissism isolated; M/P inseparable in full feature space.
TDA Mapper,EXPLORATORY,"48 nodes, silhouette=-0.0056. Node trait regions overlap — topological structure present but geometric separation not confirmed."
SHAP Attribution,STRONG,Mean cosine divergence=0.103: distinct profiles.
CKA Representational Geometry,STRONG,Mean off-diagonal CKA=0.0147 (near-orthogonal).
Symbolic Regression,WEAK,All 3 equations near-baseline: symbolic structure not recovered with parsimony constraints. Confirms complexity of trait-correlate relationships.
XGBoost Non-linear,STRONG,"Top predictors differ: {'age', 'TEQ_sum', 'BFI_A_sum'}"
Causal Discovery,PARTIAL,"Directed parents only for some traits: {'score_Machiavellianism': 0, 'score_Psychopathy': 0, 'score_Narcissism': 1}"
Counterfactuals,STRONG,"Different minimal-perturbation features: {'score_Machiavellianism': 'BFI_A_sum', 'score_Psychopathy': 'TEQ_sum', 'score_Narcissism': 'age'}"
Semantic Triangulation,STRONG,ARI=0.505 (perm p=0.0070 (7/1000 perms ≥ obs)): Substantial semantic separation matches theoretical traits; permutation p=0.0070 (7/1000 perms ≥ obs).
SDI Permutation Test,STRONG,"Obs SDI=0.2156 vs null=0.0358, p=< 0.005 (0/200 null ≥ observed)"
Rashomon Set,STRONG,Performance ordering Psy>Mach>Narc stable across architectures.
Cross-Sample Replication,PARTIAL,"Driver consistency: {'score_Machiavellianism': False, 'score_Psychopathy': False, 'score_Narcissism': False}. Differences explained by differential scale coverage."
Person-Centered Subtypes,EXPLORATORY,Latent heterogeneity detected via SHAP clustering.
SHAP Interactions,MODERATE,Non-additive feature interactions identified per trait.
