Paradigm,Layer,Key_Metric,Value,Interpretation,Triangulation_Support
Representational Similarity (CKA),Layer 2 (Supervised),Mean CKA Score vs. Null,"0.0369 (null: 0.0912 ± 0.0043, p=0.0000)",High‑scorer neural activations are significantly more distinct than random grouping.,STRONG
LLM Semantic Clustering,Layer 4 (Semantic),Adjusted Rand Index (ARI),0.5045 (p=0.0070) [Machiavellianism: 100% in cluster; Psychopathy: 100% in cluster; Narcissism: 75% in cluster],"Psychopathy items cluster distinctly, but Machiavellianism and Narcissism items are semantically conflated (The Narcissism Fracture).",MODERATE
SHAP Divergence Index (SDI),Layer 5 (Rigor),SDI vs. Pseudo‑Trait Null,"0.2591 (null: 0.0953, p=0.0100)",Feature importance divergence exceeds expectations from randomly assembled pseudo‑traits.,STRONG
Rashomon Set Robustness,Layer 5 (Rigor),Max R² Architecture Variance,Δ 0.019,"Predictive performance stable across linear, bagging, and boosting architectures.",STRONG
SHAP Interaction Geometries,Layer 2 (Supervised),Unique Top Interaction Pairs,3 out of 3,Each trait is driven by structurally distinct covariate interactions.,STRONG
Cross‑Sample Replication,Layer 5 (Rigor),Replication Across 3 Samples,Community & Representative samples replicated; Student sample: Student sample replication not possible (insufficient data).,Findings generalise across community and representative samples; student sample boundary condition.,STRONG (with caveat)
Unsupervised Network (EBICglasso),Layer 1 (Unsupervised),Louvain Clusters (DTDD‑only vs Full‑Item),DTDD‑only: 3 clusters. Full‑item space: ALL Dark Triad items collapse into 1 cluster(s).,"Traits are structurally distinct in isolation but fuse into a single ""Dark Core"" when exposed to broader personality correlates.",WEAK
Counterfactual Tipping Features,Layer 3 (Directed Dependence),Primary Modifiable Feature per Trait,"Machiavellianism: BFI_A_sum, Psychopathy: TEQ_sum, Narcissism: BFI_A_sum","Psychopathy tipping differs (TEQ), but Machiavellianism and Narcissism share identical primary tipping vulnerabilities (Agreeableness). Supports a two‑factor distinction, not three.",MODERATE
Symbolic Regression (Functional Form),Layer 2 (Supervised),Discovered Equation Uniqueness,3 distinct equations out of 3 traits,"Optimal functional forms differ across traits, supporting distinct generative structures.",STRONG
Person‑Centered Analysis (GMM BIC),Layer 5 (Person‑Centered),BIC Monotonicity,Some evidence for multimodal structure.,Evidence supports discrete subtypes within traits (BIC drops with more components).,WEAK
Variance Explained (Limitation),All Supervised Layers,Test R² Range,0.13 – 0.23,"Supervised models explain only ~15‑20% of trait variance. Conclusions about distinctiveness are restricted to the nomological overlap, not the full latent constructs.",N/A (Limitation)
